text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
"All right, so in the red box is the shape that has kind of a big rectangle on top.",1,describer,1,NA,NA,1
"And then at the bottom of this image, there's a smaller rectangle, but it's rotated slightly clockwise.",1,describer,2,NA,NA,1
I think I got it.,2,matcher,3,NA,NA,1
"Yep, and the blue box is what looks like a bird viewed from the front with its wings out at its sides.",1,describer,1,NA,NA,2
"Okay, yep.",2,matcher,2,NA,NA,2
Would that be three triangles?,2,matcher,3,NA,NA,2
"Yeah, that'd be three triangles, one on the bottom, one on each side.",1,describer,4,NA,NA,2
Yep.,2,matcher,5,NA,NA,2
"And the last one in the green box is a rectangle in the middle, and from each corner of the rectangle, there's something coming out.",1,describer,1,NA,NA,3
It's the only shape that has something come out of each corner.,1,describer,2,NA,NA,3
"Okay, it would look like an X if you zoomed all the way out.",2,matcher,3,NA,NA,3
"Right, exactly.",1,describer,4,NA,NA,3
"All right, cool.",2,matcher,5,NA,NA,3
Yep.,1,describer,6,NA,NA,3
"Okay, so next page.",1,describer,7,TRUE,NA,3
"Okay, in the red box it looks like an animal.",1,describer,1,NA,NA,4
"It has kind of a big tail off to the right corner, top right corner.",1,describer,2,NA,NA,4
It's a trapezoid in the middle with a parallelogram going up to the top right corner.,1,describer,3,NA,NA,4
"Okay, at the bottom does it have one triangle or two triangles?",2,matcher,4,NA,NA,4
It has one little triangle kind of jutting down.,1,describer,5,NA,NA,4
Yep.,2,matcher,6,NA,NA,4
"Okay, and the blue square, it looks exactly like a dog.",1,describer,1,NA,NA,5
"It has kind of an ear and a tail, and its back legs are kind of kicked out a little bit.",1,describer,2,NA,NA,5
"Yep, the back leg would be a triangle.",2,matcher,3,NA,NA,5
"Right, exactly.",1,describer,4,NA,NA,5
This next one kind of looks like an animal looking to the left.,1,describer,1,NA,NA,6
"It has a triangle, one triangle for a foot, and it has kind of up at a beak, it has a rectangle for kind of a beak, and it has kind of two hands sticking out that are two triangles.",1,describer,2,NA,NA,6
"Yep, got it.",2,matcher,3,NA,NA,6
Awesome.,1,describer,4,NA,NA,6
"Okay, this next one in the red box, it looks like a man facing to the left with something pointed at his throat.",1,describer,1,NA,NA,7
He's got kind of a triangle for kind of a hat on the back of his head.,2,matcher,2,NA,NA,7
"Okay, in the blue box is this shape.",1,describer,1,NA,NA,8
It really doesn't look like any kind of an animal.,1,describer,2,NA,NA,8
"It has kind of at the very top, I would say that like the body of the shape looks kind of like a triangle, but at the very top it has kind of a parallelogram.",1,describer,3,NA,NA,8
Pointing left or pointing right?,2,matcher,4,NA,NA,8
The triangle...,1,describer,5,NA,NA,8
I would say it would be pointing right.,1,describer,6,NA,NA,8
It's a little bit bent and it has something kind of on the bottom right side of it.,1,describer,7,NA,NA,8
But overall the triangle would be pointing to the right.,1,describer,8,NA,NA,8
On the left side it has a triangle jutting out.,1,describer,9,NA,NA,8
"Okay, would it have two triangles or one triangle jutting out?",2,matcher,10,NA,NA,8
"It has one triangle in the middle jutting out, and then on the very bottom left, it has kind of an equilateral triangle sitting against the side of the main body of the shape.",1,describer,11,NA,NA,8
Is it long and skinny?,2,matcher,12,NA,NA,8
"No, it's more of a...",1,describer,13,NA,NA,8
It's a pretty balanced shape.,1,describer,14,NA,NA,8
So you said all the way at the top there's a parallelogram?,2,matcher,15,NA,NA,8
"Yeah, and the top point of the parallelogram is pointing to the top left corner of the white box.",1,describer,16,NA,NA,8
"Yep, got it.",2,matcher,17,NA,NA,8
Awesome.,1,describer,18,NA,NA,8
Okay.,2,matcher,19,NA,NA,8
"And this last one in the green box is – oh, there it is.",1,describer,1,NA,NA,9
Okay.,2,matcher,2,NA,NA,9
"Starting in the top right, there are two triangles kind of positioned with kind of their points together.",1,describer,3,NA,NA,9
So they're both pointing up.,1,describer,4,NA,NA,9
And then they're sitting on top of a rectangle that goes across the width of the page.,1,describer,5,NA,NA,9
And then there's a point pretty much in the very bottom middle of the picture.,1,describer,6,NA,NA,9
There is a point of a triangle.,1,describer,7,NA,NA,9
Pointing downwards?,2,matcher,8,NA,NA,9
Pointing downward.,1,describer,9,NA,NA,9
Yep.,2,matcher,10,NA,NA,9
Got it.,2,matcher,11,NA,NA,9
Awesome.,1,describer,12,NA,NA,9
Now on this next one in the red box is the same one that we did earlier with the big rectangle at the top and then a tilted rectangle at the bottom.,1,describer,1,NA,NA,10
"The big rectangle, I just got to find it.",2,matcher,2,NA,NA,10
Yep.,1,describer,3,NA,NA,10
Awesome.,2,matcher,4,NA,NA,10
okay and this next one in the blue square it looks like a chicken with a fate with a beak pointed toward the left at the base it has one big triangle that's flat not pointing any direction yep not pointing down i should say,1,describer,1,NA,NA,11
yeah okay,2,matcher,2,NA,NA,11
And this last one in the green box is the same one we did earlier.,1,describer,1,NA,NA,12
It has the big tail on it.,1,describer,2,NA,NA,12
It's the trapezoid in the middle with the tail up to the top right corner and the little triangle in the middle.,1,describer,3,NA,NA,12
Got it.,2,matcher,4,NA,NA,12
Good deal.,1,describer,5,NA,NA,12
"OK, so in the red box, you're going to have the one that looks like the guy from earlier?",2,describer,1,NA,NA,13
Yeah.,1,matcher,2,NA,NA,13
Not that one.,2,describer,3,NA,NA,13
"In the center, you're going to have, so it looks like to the top right, but it's kind of angled downwards.",2,describer,1,NA,NA,14
You're going to have like a parallelogram against a big triangle.,2,describer,2,NA,NA,14
Does it kind of look like a crocodile eating the bottom right corner?,1,matcher,3,NA,NA,14
Yeah.,2,describer,4,NA,NA,14
"And then on the right, you're going to have basically, so the top right, there's a little triangle.",2,describer,1,NA,NA,15
"And then jutting out towards the bottom left, there's what appears to be a parallelogram.",2,describer,2,NA,NA,15
"It kind of looks like a rooster, almost.",2,describer,3,NA,NA,15
Is it kind of standing on one foot?,1,matcher,4,NA,NA,15
"Yeah, that's how it looks.",2,describer,5,NA,NA,15
And the rooster's pointing toward the right?,1,matcher,6,NA,NA,15
Yep.,2,describer,7,NA,NA,15
"Okay, got it.",1,matcher,8,NA,NA,15
Okay.,2,describer,9,NA,NA,15
"So this next one in the first box, it's going to look almost like a screwed up Christmas tree.",2,describer,1,NA,NA,16
"Yeah, I see it.",1,matcher,2,NA,NA,16
"It looks like there's almost two triangles kind of overlapping, and then it gets weird at the bottom.",2,describer,3,NA,NA,16
And the trunk is kind of tilted at the bottom to the right.,1,matcher,4,NA,NA,16
Yep.,2,describer,5,NA,NA,16
"Angled up towards the top right, correct?",1,matcher,6,NA,NA,16
"Yep, got it.",1,matcher,7,NA,NA,16
Yep.,2,describer,8,NA,NA,16
The next one is going to be kind of – so you see that V symbol?,2,describer,1,NA,NA,17
"Yeah, the one that kind of looks like the head of a fox.",1,matcher,2,NA,NA,17
"Yeah, but it's going to be on the image of kind of like a fox slash dog with a tail that's on the right, but it's pointed towards the left.",2,describer,3,NA,NA,17
And it's pointed kind of right toward the middle of the screen.,2,describer,4,NA,NA,17
It has two legs pointed down.,2,describer,5,NA,NA,17
Yep.,1,matcher,6,NA,NA,17
Got it.,1,matcher,7,NA,NA,17
And then on the far right is the one that you described to me earlier as the dog.,2,describer,1,NA,NA,18
"The square with the, so it's got the triangle for ears.",1,matcher,2,NA,NA,18
"Yeah, and then kind of one leg kicked back.",2,describer,3,NA,NA,18
Yep.,1,matcher,4,NA,NA,18
Got it.,1,matcher,5,NA,NA,18
"Alright, this next one is the one I described as when you zoom out, it looks like an X.",2,describer,1,NA,NA,19
"So it's basically like a, I guess you'd call that a trapezoid with things coming off each corner.",2,describer,2,NA,NA,19
"In the top right, there's a triangle and a square.",1,matcher,3,NA,NA,19
Yep.,2,describer,4,NA,NA,19
Got it.,1,matcher,5,NA,NA,19
uh the next one is uh it looks like there's two arms in the form of triangles pointing towards the left uh if it was an animal the nose would be the rectangle above that,2,describer,1,NA,NA,20
got it,1,matcher,2,NA,NA,20
and it's all it looks like it's either a side view or it's on one leg,2,describer,3,NA,NA,20
right exactly,1,matcher,4,NA,NA,20
And then the far right is going to be the skinniest image on the page.,2,describer,1,NA,NA,21
"It's a really, really slender looking bird.",2,describer,2,NA,NA,21
With two little feet.,1,matcher,3,NA,NA,21
"Two little feet, yeah.",2,describer,4,NA,NA,21
I got it.,1,matcher,5,NA,NA,21
All right.,2,describer,6,NA,NA,21
"So this next one, all the way at the top, you're going to have a parallelogram.",2,describer,1,NA,NA,22
"If you were going to look at it as a diamond, it would be pointing towards the top left corner.",2,describer,2,NA,NA,22
It doesn't really make any kind of shape.,2,describer,3,NA,NA,22
"In the bottom left, is there a triangle pointing toward the left?",1,matcher,4,NA,NA,22
"Yeah, I see what you're saying now.",2,describer,5,NA,NA,22
I'm basically in the middle.,2,describer,6,NA,NA,22
It's kind of just like there's maybe a bunch of overlapping shapes.,2,describer,7,NA,NA,22
It doesn't really make any real shape.,2,describer,8,NA,NA,22
"Yeah, but in the bottom and kind of the middle, it's basically the middle of the shape looks kind of like a triangle if you zoomed out, but then it's got something jutting out on the right side.",1,matcher,9,NA,NA,22
Yep.,2,describer,10,NA,NA,22
Got it.,1,matcher,11,NA,NA,22
"In the middle, it's basically the fox's head, that V.",2,describer,1,NA,NA,23
"On the right, it's gonna be your rooster sitting on that triangle that could be a roof or something.",2,describer,1,NA,NA,24
Is it looking towards the left or it's looking to the left?,1,matcher,2,NA,NA,24
"It's looking towards the left, yes, sir.",2,describer,3,NA,NA,24
"Okay, got it.",1,matcher,4,NA,NA,24
"Okay, the first one in the red box is the figure with two triangles kind of pointing up towards the top.",1,describer,1,NA,NA,25
"The triangles are on the right top corner, and then there's the rectangle going across the width of the image, and then there's the point down right in the middle.",1,describer,2,NA,NA,25
"Yeah, it looks like they attached to like a misshapen trapezoid, they attached a triangle on the bottom.",2,matcher,3,NA,NA,25
"Right, and as long as there are just two ears pointing up toward the top and then one triangle pointing to the bottom, you've got it.",1,describer,4,NA,NA,25
"Yep, that's it.",2,matcher,5,NA,NA,25
The second one is the misshapen Christmas tree.,1,describer,1,NA,NA,26
And the third one is the bird with its wings straight out to the side with the three triangles.,2,matcher,1,NA,NA,27
"Yep, you got it.",1,describer,2,NA,NA,27
Great.,2,matcher,3,NA,NA,27
"Okay, the next one in the red square is the fox's head.",1,describer,1,NA,NA,28
Yep.,2,matcher,2,NA,NA,28
In the blue square is the alligator with the two triangles pointed toward the bottom right.,1,describer,1,NA,NA,29
and in the green square is the fox's head on the body of that animal.,1,describer,1,NA,NA,30
"Yep, so yep, got it.",2,matcher,2,NA,NA,30
Good deal.,1,describer,3,NA,NA,30
"Okay, in the red square on this one is the kind of the chicken pointed toward the right, standing on one leg with kind of one foot out in front.",1,describer,1,NA,NA,31
"Yep, there's that one triangle jutting out towards the bottom right, pointing towards the bottom right.",2,matcher,2,NA,NA,31
"No, so it's this one.",1,describer,3,NA,NA,31
It looks like a bird pointed toward the right.,1,describer,4,NA,NA,31
"It has kind of a tail that looks like a parallelogram, but it's pointed almost vertically.",1,describer,5,NA,NA,31
Yep.,2,matcher,6,NA,NA,31
"Okay, so that's the one.",1,describer,7,NA,NA,31
Yeah.,2,matcher,8,NA,NA,31
Good deal.,1,describer,9,NA,NA,31
"Okay, and the blue one is the Christmas tree again.",1,describer,1,NA,NA,32
The misshapen one?,2,matcher,2,NA,NA,32
Yeah.,1,describer,3,NA,NA,32
Yep.,2,matcher,4,NA,NA,32
And then the green square is the chicken sitting on the roof pointed to the left.,1,describer,1,NA,NA,33
Yep.,2,matcher,2,NA,NA,33
Got it.,2,matcher,3,NA,NA,33
"Okay, in the red square is the shape that we've had a lot of trouble describing.",1,describer,1,NA,NA,34
It's the triangle kind of zoomed out.,1,describer,2,NA,NA,34
It would be a triangle pointed to the right.,2,matcher,3,NA,NA,34
It has a little triangle in the left corner.,1,describer,4,NA,NA,34
"Yeah, bottom corner, right?",2,matcher,5,NA,NA,34
"Bottom left corner, and then the top left, it's kind of the parallelogram.",1,describer,6,NA,NA,34
"Yep, got it.",2,matcher,7,NA,NA,34
Okay.,1,describer,8,NA,NA,34
"In the blue square is the tallest, skinniest shape with the two feet.",1,describer,1,NA,NA,35
Looks like it could be some kind of weird bird.,2,matcher,2,NA,NA,35
"Yeah, exactly.",1,describer,3,NA,NA,35
Yeah.,2,matcher,4,NA,NA,35
And then the green square is the alligator eating the bottom right corner.,1,describer,1,NA,NA,36
Yep.,2,matcher,2,NA,NA,36
"Okay, so the first one is the one you described as the dog.",2,describer,1,NA,NA,37
"Okay, so it's got the ear would basically be a triangle with the top corner pointing towards the top left corner.",2,describer,2,NA,NA,37
"Yep, got it.",1,matcher,3,NA,NA,37
The middle one is the one I described earlier where it looks like there's a rectangle up top and then two kind of overlapping triangles.,2,describer,1,NA,NA,38
"At the bottom, there's an angled rectangle.",2,describer,2,NA,NA,38
Say that again.,1,matcher,3,NA,NA,38
You described it earlier.,2,describer,4,NA,NA,38
"There's two rectangles, the big rectangle up top and then a smaller rectangle at the bottom that's kind of angled.",2,describer,5,NA,NA,38
"Yeah, I got it.",1,matcher,6,NA,NA,38
"And then the last one is that one where I said if you zoomed out, it would look like an x.",2,describer,1,NA,NA,39
So the center is just a slightly unequal trapezoid.,1,matcher,2,NA,NA,39
"All right, so the next page is that animal where it's...",2,describer,1,NA,NA,40
"So the body would be a trapezoid, and it's got the diamond tail or parallelogram tail coming off the top right, pointing towards the top right corner.",2,describer,2,NA,NA,40
"Yeah, I've got it.",1,matcher,3,NA,NA,40
And it has one triangle pointing towards the ground.,2,describer,4,NA,NA,40
"Yeah, exactly.",1,matcher,5,NA,NA,40
"The next one is, it looks like the side view of maybe a dog standing up we talked about earlier.",2,describer,1,NA,NA,41
It's got the two triangles for arms.,2,describer,2,NA,NA,41
"Yeah, two little hands.",1,matcher,3,NA,NA,41
Yep.,2,describer,4,NA,NA,41
Got it.,1,matcher,5,NA,NA,41
And then the last one is the weird shape we talked about where it looks like a...,2,describer,1,NA,NA,42
So it's probably a rectangle in the middle.,2,describer,2,NA,NA,42
"And then up to the top right, you've got kind of two triangles connected to a...",2,describer,3,NA,NA,42
I guess you'd call that a rectangle.,2,describer,4,NA,NA,42
"Oh, yeah.",1,matcher,5,NA,NA,42
So it's kind of a...,2,describer,6,NA,NA,42
"If it were an animal, it would have to be facing the right, like its head would be on the right side.",2,describer,7,NA,NA,42
Yep.,1,matcher,8,NA,NA,42
Okay.,2,describer,9,NA,NA,42
"Yeah, yeah, yeah.",1,matcher,10,NA,NA,42
Got it.,1,matcher,11,NA,NA,42
Yeah.,2,describer,12,NA,NA,42
All right.,1,matcher,13,NA,NA,42
Got it.,1,matcher,14,NA,NA,42
"In the next sequence, we've got the fox's head on the fox's body, so the fox.",2,describer,1,NA,NA,43
The second one is the fox's head.,2,describer,1,NA,NA,44
And the third one's the one that looks like a guy with a hat.,2,describer,1,NA,NA,45
"Yeah, got it.",1,matcher,2,NA,NA,45
"In this next one, the first one is the bird with three triangles, as if it's spread eagle.",2,describer,1,NA,NA,46
The second one would be the kind of chicken or rooster facing to the right though.,2,describer,1,NA,NA,47
With one foot up?,1,matcher,2,NA,NA,47
"Yep, one foot up.",2,describer,3,NA,NA,47
And then the last one is the long skinny bird.,2,describer,1,NA,NA,48
So we're starting with the red box.,3,describer,1,NA,NA,49
"And so the first shape, it's a large black rectangle on top.",3,describer,2,NA,NA,49
And then it's continuous.,3,describer,3,NA,NA,49
"And on the sides, on the right side, there's two smaller jagged triangles coming off.",3,describer,4,NA,NA,49
"And then on the left side, there's one kind of smaller triangle going off.",3,describer,5,NA,NA,49
"And then kind of detached from the rest of it at the very bottom, there's a smaller rectangle.",3,describer,6,NA,NA,49
Do you think you have that one?,3,describer,7,NA,NA,49
"Yeah, I have that one.",4,matcher,8,NA,NA,49
"Okay, very cool.",3,describer,9,NA,NA,49
"All right, so we're on to the blue one.",3,describer,1,NA,NA,50
"And the blue one is, first thing, it looks like a bird flying.",3,describer,2,NA,NA,50
It has two triangles on opposite sides that look like wings.,3,describer,3,NA,NA,50
"And in the middle, there's a rectangle with a missing triangle in it, kind of.",3,describer,4,NA,NA,50
"And then at the bottom of the shape, there's another triangle that looks like tail feathers, too.",3,describer,5,NA,NA,50
You got that one?,3,describer,6,NA,NA,50
