id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JHGH7Y4CZAK1WFWHRK8PGMJH,,,,,lobby timed out,2025-01-13T19:40:20.243271651Z,,,,,01JHGGYB8GRMFS9GB2A4FX8GD1,2025-01-13T19:23:52.798602987Z,2,2025-01-13T19:12:56.047805858Z,true,2025-01-13T19:37:20.214716283Z,01JHGGYB8GRMFS9GB2A4FX8GD1,2025-01-13T19:37:20.239201812Z,01JHGJQBKB8JS2QZMC0QWK9ZBQ,2025-01-13T19:37:20.239201812Z,,,,,01JHGH7VS0Q6B7ZMPX04VZKM6M,2025-01-13T19:11:26.348604228Z,6740d83ed0cdd798c48dae4b,2025-01-13T19:11:26.348604228Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:11:26.355280771Z,full-comp-between,2025-01-13T19:11:26.355280771Z,"{""participantKey"":""6740d83ed0cdd798c48dae4b"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""6785652b08eca24374afd4f8""}",2025-01-13T19:11:26.983753647Z
01JHGH8SQJ99NWDAT27BPXAXCE,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-13T19:14:47.665191553Z,1.860000,2025-01-13T19:38:47.935637059Z,game ended,2025-01-13T19:38:48.016730157Z,,,,,01JHGGY54SXSZQW4TE12ZJHVE3,2025-01-13T19:13:33.51586663Z,2,2025-01-13T19:12:16.840519827Z,true,2025-01-13T19:14:47.372646201Z,01JHGGY54SXSZQW4TE12ZJHVE3,2025-01-13T19:14:47.410975484Z,01JHGHE2FEVBZGZ6HCFAPZYK12,2025-01-13T19:14:47.410975484Z,Minu,2025-01-13T19:14:47.665191553Z,#444EA1,2025-01-13T19:14:47.665191553Z,01JHGH8REA9Z5D8FJDPM4XJMSW,2025-01-13T19:11:54.610682667Z,67704b2b0aaaa6bf3f633484,2025-01-13T19:11:54.610682667Z,01JHGH7N52BXY48GV73WQCFMV0,2025-01-13T19:14:47.665191553Z,matcher,2025-01-13T19:38:30.278165619Z,1.860000,2025-01-13T19:38:47.935637059Z,/avatars/red.png,2025-01-13T19:14:47.665191553Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:11:54.616040963Z,full-comp-between,2025-01-13T19:11:54.616040963Z,"{""participantKey"":""67704b2b0aaaa6bf3f633484"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""67856531cb10f22c9cf382ab""}",2025-01-13T19:11:55.291700429Z
01JHGHBBTX8NEKMXQSH2WPAV4E,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-13T19:23:53.593397591Z,1.890000,2025-01-13T19:49:56.949090387Z,game ended,2025-01-13T19:49:57.045140648Z,true,2025-01-13T19:50:39.401071957Z,"{""age"":""57"",""gender"":""female"",""strategy"":"""",""enjoy"":"""",""feedback"":"""",""education"":""bachelor""}",2025-01-13T19:50:39.416109189Z,01JHGGY9WK95B71BMX502V4N0Q,2025-01-13T19:20:54.909991656Z,2,2025-01-13T19:15:19.896078842Z,true,2025-01-13T19:21:49.338805039Z,01JHGGY9WK95B71BMX502V4N0Q,2025-01-13T19:21:49.354679452Z,01JHGHTYH7EJQ228BZE18Z4Z74,2025-01-13T19:21:49.354679452Z,Repi,2025-01-13T19:23:53.593397591Z,#29828D,2025-01-13T19:23:53.593397591Z,01JHGHBAR8MA6QG3V0WQ9J96PZ,2025-01-13T19:13:18.685225202Z,5b0710e7a84dcf0001beee8a,2025-01-13T19:13:18.685225202Z,01JHGHRQWJA2CE7GXE191G50RJ,2025-01-13T19:23:53.593397591Z,director,2025-01-13T19:49:40.269057101Z,1.890000,2025-01-13T19:49:56.949090387Z,/avatars/blue.png,2025-01-13T19:23:53.593397591Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:13:18.693184897Z,full-comp-between,2025-01-13T19:13:18.693184897Z,"{""participantKey"":""5b0710e7a84dcf0001beee8a"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""6785658f3f0dd495fb198252""}",2025-01-13T19:13:19.485428747Z
01JHGHVZVYCE2B5QBRK2MW9D29,,,,,lobby timed out,2025-01-13T19:30:28.383443049Z,true,2025-01-13T19:30:58.24249061Z,"{""gamefailed"":""nogame""}",2025-01-13T19:30:58.13524164Z,01JHGGYB8GRMFS9GB2A4FX8GD1,2025-01-13T19:23:52.798602987Z,2,2025-01-13T19:25:48.201604991Z,true,2025-01-13T19:27:28.288342435Z,01JHGGYB8GRMFS9GB2A4FX8GD1,2025-01-13T19:27:28.307372808Z,01JHGJ59HFFV07DW36SR05CJ22,2025-01-13T19:27:28.307372808Z,,,,,01JHGHVZG66PQTBGFG54A7H5HA,2025-01-13T19:22:23.486990578Z,6584589847e4652b2516d4b3,2025-01-13T19:22:23.486990578Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:22:23.503936843Z,full-comp-between,2025-01-13T19:22:23.503936843Z,"{""participantKey"":""6584589847e4652b2516d4b3"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""678567c7d996dd759b99078e""}",2025-01-13T19:22:23.683344528Z
01JHGH5ZF1W89HSWJ8TWB3WW46,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-13T19:12:39.299543265Z,1.860000,2025-01-13T19:38:08.897592848Z,game ended,2025-01-13T19:38:08.977573585Z,true,2025-01-13T19:39:17.901415103Z,"{""age"":""25"",""gender"":""Female"",""strategy"":""I made the descriptions simple and my partner and I found things that we both understood and kept repeating things."",""enjoy"":""I enjoyed it as we worked well together."",""feedback"":""None at all."",""education"":""master""}",2025-01-13T19:39:17.915592403Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:10:22.184747402Z,2,2025-01-13T19:12:10.420783444Z,true,2025-01-13T19:12:39.022111004Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:12:39.063073703Z,01JHGHA54K9HAS52C1V3KVN3Q2,2025-01-13T19:12:39.063073703Z,Minu,2025-01-13T19:12:39.299543265Z,#444EA1,2025-01-13T19:12:39.299543265Z,01JHGH5YNEB19X43A0RF8G9Z2D,2025-01-13T19:10:22.177946096Z,5a9e9004f053610001721c44,2025-01-13T19:10:22.177946096Z,01JHGH3XDHW3C94D235S1DC3HX,2025-01-13T19:12:39.299543265Z,matcher,2025-01-13T19:37:49.871750568Z,1.860000,2025-01-13T19:38:08.897592848Z,/avatars/red.png,2025-01-13T19:12:39.299543265Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:10:22.184747402Z,full-comp-between,2025-01-13T19:10:22.184747402Z,"{""participantKey"":""5a9e9004f053610001721c44"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""67856503a07c912f4f59f8b9""}",2025-01-13T19:10:22.621598097Z
01JHGH56H0S5W14CZYKQBNNCZD,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-13T19:18:35.871867822Z,1.800000,2025-01-13T19:42:15.26848108Z,game ended,2025-01-13T19:42:15.361579001Z,true,2025-01-13T19:43:31.380082659Z,"{""age"":""28"",""gender"":""female"",""strategy"":""good"",""enjoy"":""yes its fun "",""feedback"":""no problem"",""education"":""bachelor""}",2025-01-13T19:43:31.365551681Z,01JHGGY73YKFPFR78HD0F9P5YC,2025-01-13T19:15:52.075037609Z,2,2025-01-13T19:13:56.11723236Z,true,2025-01-13T19:17:36.29180643Z,01JHGGY73YKFPFR78HD0F9P5YC,2025-01-13T19:17:36.316738322Z,01JHGHK7DS6F17BW1Y1QMMYYAW,2025-01-13T19:17:36.316738322Z,Repi,2025-01-13T19:18:35.871867822Z,#29828D,2025-01-13T19:18:35.871867822Z,01JHGH5597JZKD2GPDPDRZBPMA,2025-01-13T19:09:56.640899728Z,671bb3740865eea912524f2f,2025-01-13T19:09:56.640899728Z,01JHGH77YM2VA24TMVS86Y4N0P,2025-01-13T19:18:35.871867822Z,director,2025-01-13T19:42:02.964286372Z,1.800000,2025-01-13T19:42:15.26848108Z,/avatars/blue.png,2025-01-13T19:18:35.871867822Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:09:56.647097367Z,full-comp-between,2025-01-13T19:09:56.647097367Z,"{""participantKey"":""671bb3740865eea912524f2f"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""678564d605ee22efa4603920""}",2025-01-13T19:09:57.113768524Z
01JHGH6VSCGGS60CY4J539Z4PE,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-13T19:15:52.358733213Z,1.830000,2025-01-13T19:37:39.674441823Z,game ended,2025-01-13T19:37:39.754852684Z,true,2025-01-13T19:39:12.18775377Z,"{""age"":""30"",""gender"":""Male"",""strategy"":""We identify each shape in common words."",""enjoy"":""It was great. After a few wrong answers, we did a great job together."",""feedback"":""Nothing honestly"",""education"":""bachelor""}",2025-01-13T19:39:12.172642611Z,01JHGGY5Z05KJRNNNVJZMNX4RQ,2025-01-13T19:14:47.398272105Z,2,2025-01-13T19:13:50.977115043Z,true,2025-01-13T19:15:52.054669082Z,01JHGGY5Z05KJRNNNVJZMNX4RQ,2025-01-13T19:15:52.083866382Z,01JHGHG1MHWY0SHA2KJE8JDDEM,2025-01-13T19:15:52.083866382Z,Repi,2025-01-13T19:15:52.358733213Z,#29828D,2025-01-13T19:15:52.358733213Z,01JHGH6VCN8REYH3PB36S1GH7K,2025-01-13T19:10:51.18055352Z,653d1965f9fd9ee888106aad,2025-01-13T19:10:51.18055352Z,01JHGHA8C2A3R6D84HKVT2YXW8,2025-01-13T19:15:52.358733213Z,director,2025-01-13T19:37:20.581764017Z,1.830000,2025-01-13T19:37:39.674441823Z,/avatars/blue.png,2025-01-13T19:15:52.358733213Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:10:51.187052242Z,full-comp-between,2025-01-13T19:10:51.187052242Z,"{""participantKey"":""653d1965f9fd9ee888106aad"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""678564fe838981103710966b""}",2025-01-13T19:10:51.395148716Z
01JHGH86A1R93TBC1D67AJ1FN4,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-13T19:13:33.739229962Z,1.800000,2025-01-13T19:29:58.839854992Z,game ended,2025-01-13T19:29:58.91161663Z,true,2025-01-13T19:30:46.669104289Z,"{""age"":""46"",""gender"":""Female"",""strategy"":""We found a common understanding of how we referred to the shapes."",""enjoy"":""Yes, very much"",""feedback"":""n/a"",""education"":""bachelor""}",2025-01-13T19:30:46.6805088Z,01JHGGY4AX2P47YBE9PNYAZSBA,2025-01-13T19:12:53.961675994Z,2,2025-01-13T19:12:16.126587074Z,true,2025-01-13T19:13:21.605489077Z,01JHGGY4AX2P47YBE9PNYAZSBA,2025-01-13T19:13:21.612083157Z,01JHGHBEP9MGRG8NCJTRS62G3D,2025-01-13T19:13:21.612083157Z,Minu,2025-01-13T19:13:33.739229962Z,#444EA1,2025-01-13T19:13:33.739229962Z,01JHGH85Q2SNVMBRF9C5K3SAH4,2025-01-13T19:11:34.721936243Z,611ab24657af79642f9ed581,2025-01-13T19:11:34.721936243Z,01JHGH78GFXJDRSSDHJ0VHQBEE,2025-01-13T19:13:33.739229962Z,matcher,2025-01-13T19:29:49.466467973Z,1.800000,2025-01-13T19:29:58.839854992Z,/avatars/red.png,2025-01-13T19:13:33.739229962Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:11:34.728839177Z,full-comp-between,2025-01-13T19:11:34.728839177Z,"{""participantKey"":""611ab24657af79642f9ed581"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""678565439e782e2a7b21531d""}",2025-01-13T19:11:35.042547521Z
01JHGHA8C2A3R6D84HKVT2YXW8,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-13T19:15:52.358733213Z,1.830000,2025-01-13T19:37:39.674441823Z,game ended,2025-01-13T19:37:39.754852684Z,true,2025-01-13T19:39:39.431207944Z,"{""age"":""55"",""gender"":""female"",""strategy"":""we were describing the shapes at the top or bottom on the right shape and answering yes or no to eachothers questions"",""enjoy"":""yes it was fun communicating with a partner because it was unique and it was fun playing a game as well"",""feedback"":""none encountered"",""education"":""high-school""}",2025-01-13T19:39:39.415964912Z,01JHGGY5Z05KJRNNNVJZMNX4RQ,2025-01-13T19:14:47.398272105Z,2,2025-01-13T19:14:29.073104774Z,true,2025-01-13T19:15:00.291710973Z,01JHGGY5Z05KJRNNNVJZMNX4RQ,2025-01-13T19:15:00.302068006Z,01JHGHEF2A6CTF8CW7A5DG87JH,2025-01-13T19:15:00.302068006Z,Minu,2025-01-13T19:15:52.358733213Z,#444EA1,2025-01-13T19:15:52.358733213Z,01JHGHA53JKFH60D8FVQGC8FQ8,2025-01-13T19:12:42.370861939Z,676c67883fa1ba4ea4eb05a7,2025-01-13T19:12:42.370861939Z,01JHGH6VSCGGS60CY4J539Z4PE,2025-01-13T19:15:52.358733213Z,matcher,2025-01-13T19:37:20.581764017Z,1.830000,2025-01-13T19:37:39.674441823Z,/avatars/red.png,2025-01-13T19:15:52.358733213Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:12:42.40049537Z,full-comp-between,2025-01-13T19:12:42.40049537Z,"{""participantKey"":""676c67883fa1ba4ea4eb05a7"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""678565282bbbf92080fd5015""}",2025-01-13T19:12:42.689913717Z
01JHGH3XDHW3C94D235S1DC3HX,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-13T19:12:39.299543265Z,1.860000,2025-01-13T19:38:08.897592848Z,game ended,2025-01-13T19:38:08.977573585Z,true,2025-01-13T19:38:48.432381346Z,"{""age"":""24"",""gender"":""Male"",""strategy"":""Fun and unique, try and find easy words t describe shapes"",""enjoy"":""Yeah, it was good"",""feedback"":"""",""education"":""bachelor""}",2025-01-13T19:38:48.416705355Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:09:14.55372496Z,2,2025-01-13T19:10:03.170502097Z,true,2025-01-13T19:10:30.957687406Z,01JHGGXYZWXD6VFDEGADATQMG8,2025-01-13T19:10:30.967541218Z,01JHGH681KXNB2SSPFCNQF1QC3,2025-01-13T19:10:30.967541218Z,Repi,2025-01-13T19:12:39.299543265Z,#29828D,2025-01-13T19:12:39.299543265Z,01JHGH3X3J0663232WPRCZ9VZM,2025-01-13T19:09:14.545548304Z,66ce770fa8da62ffe45c1b10,2025-01-13T19:09:14.545548304Z,01JHGH5ZF1W89HSWJ8TWB3WW46,2025-01-13T19:12:39.299543265Z,director,2025-01-13T19:37:49.871750568Z,1.860000,2025-01-13T19:38:08.897592848Z,/avatars/blue.png,2025-01-13T19:12:39.299543265Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":5,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-13T19:09:14.55372496Z,full-comp-between,2025-01-13T19:09:14.55372496Z,"{""participantKey"":""66ce770fa8da62ffe45c1b10"",""STUDY_ID"":""678563034d46f084b75746ec"",""SESSION_ID"":""678564b5e65553d07e94a5e1""}",2025-01-13T19:09:14.723538761Z
